"seed","ari","nmi","n_vertices","n_communities"
126,0.0358403256396551,0.0507797059372374,155,14
127,0.0315658515264459,0.0508392298708809,150,13
128,0.0120796738027981,0.0310383726423115,153,12
129,0.0234099035837828,0.0318970268494516,156,13
130,0.028492881623904,0.0441800006515592,153,14
131,0.0211210406171236,0.0333382685164262,156,14
132,0.0131643206009555,0.0351299579458228,159,14
133,0.0227431676316992,0.047138556450224,158,14
134,0.0391813621806374,0.053305987303172,161,15
135,0.022729998683443,0.0329655322488203,152,13
136,0.0239931155539982,0.0426621315788118,153,14
137,0.0155735248862518,0.0269295890021849,151,13
138,0.0165994400112223,0.0233709531105553,159,12
139,0.0242313864253379,0.0353098098903652,153,14
140,0.0415771565547796,0.0568662930862042,158,13
141,0.0102113723555301,0.0214159392126405,154,13
142,0.0376552674711068,0.0507690154654859,156,12
143,0.0430116898067849,0.0579634275662112,160,12
144,0.0292373123137751,0.0441395813537371,156,13
145,0.0363063941628357,0.0475726507127075,162,13
146,0.0166869775101306,0.0324476480058435,159,12
147,0.0365509368895274,0.0584093809345935,156,12
148,0.0188488956463671,0.0325271227172359,166,12
149,0.0377087640853651,0.0441311719187222,158,13
150,0.0252287115170149,0.0473912542739984,152,13
151,0.0119761497679682,0.0218587593441885,158,14
152,0.0185115466071816,0.0414542472824114,163,13
153,0.0179729599827563,0.0420311797935231,154,12
154,0.0265260938019989,0.0480539051519378,163,13
155,0.0296732847789871,0.040525595309432,161,13
156,0.0463049415902859,0.0634013048995468,164,14
157,0.00956901225715058,0.0180149398240423,158,13
158,0.0187147902028045,0.0372634134965433,159,13
159,0.0202096929956699,0.0387086037946827,158,13
160,0.0151148016425287,0.0260498894031092,146,13
161,0.00864061372491859,0.0251808843563748,145,15
162,0.0218151345229511,0.0509781223826225,156,14
163,0.0322796292185876,0.0489021129695221,164,13
164,0.0246859534363756,0.0456561395217305,148,13
165,0.0142146952818326,0.0263843749125647,153,13
166,0.0379729656517135,0.0453869869870023,148,13
