"tract","density_q","distance_to_centroid"
"25005614102","Q1_low",7.8951777309505
"25005615100","Q1_low",5.62065903557551
"25005616100","Q1_low",3.57089642593166
"25005617101","Q1_low",7.19109039284036
"25005617102","Q1_low",6.96097700746687
"25005630101","Q2",4.9030956518808
"25005630102","Q3",4.33765919872876
"25005630201","Q1_low",5.89484769268187
"25005630202","Q3",6.33939453180908
"25005630301","Q1_low",5.6190039039991
"25005630302","Q2",5.04240580808109
"25005630400","Q3",4.75987070581423
"25005631101","Q3",7.46223356717369
"25005631102","Q3",4.38374763249264
"25005631200","Q2",8.15809349084205
"25005631300","Q2",4.97309021467428
"25005631400","Q4_high",3.31672946487964
"25005631500","Q2",5.49197671405151
"25005631600","Q4_high",6.9143639537317
"25005631700","Q2",6.45434793901408
"25005631800","Q1_low",5.91735818626986
"25005632100","Q1_low",4.24549333720738
"25005632200","Q2",5.11550512804445
"25005633100","Q1_low",3.33793428376841
"25005633200","Q1_low",5.61586681459191
"25005640100","Q3",4.93692367037965
"25005640201","Q3",4.2814170599797
"25005640202","Q3",5.24544269298361
"25005640300","Q3",8.97797655956106
"25005640400","Q2",4.28808146554004
"25005640500","Q4_high",8.79930979499561
"25005640600","Q3",6.19808286127657
"25005640700","Q2",4.99378438222107
"25005640800","Q3",6.90862853459231
"25005640901","Q2",4.63969458077786
"25005641000","Q4_high",5.56000531456223
"25005641101","Q4_high",7.5300347608397
"25005641200","Q4_high",5.82312683368215
"25005641300","Q3",5.98349562927441
"25005641400","Q3",4.24048156814577
"25005641500","Q3",5.96304470513725
"25005641600","Q3",7.02144715019887
"25005641700","Q2",6.22531134064626
"25005641800","Q4_high",8.26824035742264
"25005641900","Q3",5.65665099488307
"25005642000","Q3",5.040955359244
"25005642100","Q2",5.15096585903849
"25005642200","Q4_high",7.0128163987301
"25005642300","Q2",5.86487717151912
"25005642400","Q3",6.36693627555283
"25005642500","Q2",9.00666657469699
"25005644101","Q2",4.70477029911423
"25005644102","Q1_low",4.3632364667119
"25005644200","Q2",8.1017828220473
"25005645101","Q1_low",4.25472621199192
"25005645102","Q1_low",4.50715503936046
"25005645103","Q2",5.72866758603229
"25005646101","Q1_low",6.27833324058238
"25005646103","Q1_low",4.78422146622529
"25005646104","Q1_low",5.1857963266592
"25005650101","Q2",4.12134601101237
"25005650102","Q3",7.95773325212947
"25005650201","Q2",7.52350936204282
"25005650202","Q3",5.58019422150803
"25005650300","Q4_high",7.13571404322049
"25005650400","Q4_high",7.5436973967227
"25005650500","Q3",6.37742780662559
"25005650600","Q3",4.14643856766297
"25005650700","Q3",5.25370574390248
"25005650800","Q4_high",9.21915948899459
"25005650900","Q3",7.20543765822477
"25005651001","Q2",7.23101062153387
"25005651002","Q3",4.95130653619366
"25005651100","Q3",5.53584974616601
"25005651200","Q4_high",8.74577681429268
"25005651300","Q4_high",9.27615830136516
"25005651400","Q3",6.38613183307989
"25005651500","Q2",6.57624053230757
"25005651600","Q2",4.98919579852534
"25005651700","Q3",6.62333939021811
"25005651800","Q4_high",7.0364518800341
"25005651900","Q4_high",10.2035209202365
"25005652000","Q3",5.57743712068447
"25005652100","Q3",4.52479849449969
"25005652200","Q4_high",8.23851973721126
"25005652300","Q3",5.74092128614316
"25005652400","Q3",4.63416952315149
"25005652500","Q3",6.35888984665946
"25005652600","Q3",4.82143030330216
"25005652700","Q3",5.52723920572959
"25005652800","Q2",7.85149952263757
"25005653101","Q2",7.0461704171481
"25005653102","Q2",6.61681666624366
"25005653203","Q2",4.63130916422861
"25005653204","Q1_low",6.66137365105081
"25005653301","Q1_low",4.59920971180058
"25005653304","Q1_low",7.1302689974941
"25005654100","Q1_low",5.82618270712495
"25005654200","Q2",5.97453981828612
"25005655100","Q2",6.89332171824031
"25005655200","Q2",5.0280191888147
"25005655300","Q3",5.45542746733522
"25005655400","Q1_low",5.28702412612718
"25005985500","Q1_low",6.6414412127284
"25005985600","Q2",4.9559675723838
"25007200100","Q2",4.14775505108715
"25007200200","Q1_low",4.29338614131205
"25007200300","Q1_low",4.94917253686209
"25007200400","Q1_low",4.38277710006647
"25009201100","Q2",4.63364267198278
"25009202101","Q3",4.59948765039714
"25009202103","Q1_low",4.65438685145137
"25009202104","Q3",3.92530874029009
"25009202200","Q2",4.82138051939916
"25009203100","Q2",4.74254061144774
"25009203200","Q2",4.23041492358557
"25009203301","Q3",5.97759216226363
"25009203302","Q3",4.40975668928464
"25009204101","Q3",4.3362385076383
"25009204102","Q2",5.81225774844533
"25009204200","Q4_high",2.69806065118057
"25009204300","Q4_high",5.88812968887874
"25009204400","Q3",7.3263801108866
"25009204500","Q4_high",5.49306629191776
"25009204600","Q2",5.68071033418669
"25009204701","Q3",6.16865915670914
"25009204702","Q3",2.80686662186436
"25009205100","Q2",5.69444773285482
"25009205200","Q4_high",5.2591932010262
"25009205300","Q2",5.5813378038135
"25009205400","Q2",5.92963605239673
"25009205500","Q3",6.58104671956578
"25009205600","Q2",5.15529363871458
"25009205700","Q2",7.21387999277986
"25009205800","Q4_high",8.65230687969685
"25009205900","Q3",4.42727451987184
"25009206000","Q4_high",6.78653503930101
"25009206100","Q4_high",4.97996072399714
"25009206200","Q2",5.38707843971995
"25009206300","Q3",5.98038205382596
"25009206400","Q3",5.21249091726031
"25009206500","Q3",5.76167265705371
"25009206600","Q4_high",6.79018382272817
"25009206700","Q3",5.17429222084342
"25009206800","Q4_high",5.38266474815698
"25009206900","Q4_high",4.18042829787621
"25009207000","Q4_high",4.32962844395569
"25009207100","Q4_high",5.17947280046566
"25009207200","Q4_high",9.9820101432749
"25009208101","Q2",5.22359559676411
"25009208102","Q2",5.48058399122796
"25009208200","Q3",5.7455014456624
"25009208301","Q3",4.63371961392091
"25009208302","Q2",6.70315109340761
"25009208401","Q2",6.67876767191437
"25009208402","Q3",6.22758274225797
"25009209100","Q3",7.8106575477858
"25009209200","Q1_low",5.6295795045044
"25009210100","Q2",4.11624843696096
"25009210200","Q2",3.4420157282761
"25009210301","Q3",7.17801646060255
"25009210302","Q4_high",5.33301937358868
"25009210401","Q3",7.70869899637615
"25009210402","Q3",7.84646537388313
"25009210500","Q2",4.23446646473636
"25009210600","Q2",5.33513065590169
"25009210700","Q3",4.70125548014331
"25009210800","Q4_high",4.38076814680869
"25009210900","Q2",6.13450710630419
"25009211100","Q3",5.72084613724826
"25009211201","Q4_high",4.41210471019658
"25009211202","Q4_high",5.38005083363026
"25009211300","Q3",7.82876590361623
"25009211401","Q3",5.19415836923857
"25009211402","Q3",7.56507998230154
"25009212101","Q2",4.74084755918715
"25009212102","Q2",4.26796937238752
"25009213100","Q1_low",3.63750984357196
"25009214100","Q1_low",5.2985731176487
"25009215101","Q1_low",5.69715559792653
"25009215102","Q1_low",5.91424336814087
"25009216100","Q1_low",6.58538933761288
"25009217101","Q3",6.24455044583232
"25009217102","Q3",5.21502518761844
"25009217201","Q2",7.32720509975491
"25009217202","Q2",6.41689440011579
"25009217300","Q4_high",5.09864600288998
"25009217401","Q4_high",4.6350760544935
"25009217402","Q4_high",7.87636577915349
"25009217500","Q3",5.12163604875563
"25009217601","Q1_low",5.68736948806954
"25009217602","Q2",9.50265194735663
"25009218100","Q1_low",5.87439344387491
"25009220101","Q1_low",3.56618348297285
"25009220102","Q1_low",4.00731024786922
"25009221100","Q1_low",5.13803844032613
"25009221300","Q3",7.9921630906034
"25009221400","Q3",6.56629577378116
"25009221500","Q4_high",5.42824850779899
"25009221600","Q3",5.01773940313973
"25009221700","Q3",4.64781959472492
"25009221800","Q2",7.8858182981836
"25009221901","Q1_low",5.38688661761501
"25009221902","Q1_low",4.66968004319813
"25009222100","Q1_low",4.50721954253605
"25009223100","Q1_low",5.80138509483732
"25009223200","Q3",6.64329271005751
"25009223300","Q1_low",6.37922576847417
"25009250100","Q4_high",5.08331203054723
"25009250200","Q2",5.14100488412925
"25009250300","Q4_high",7.52040313667601
"25009250400","Q4_high",5.93297756891452
"25009250500","Q3",5.79928064776771
"25009250600","Q3",4.68495973047561
"25009250700","Q4_high",6.79117312097321
"25009250800","Q3",8.21341834511452
"25009250900","Q4_high",5.47356888277084
"25009251000","Q3",6.03928109764144
"25009251100","Q4_high",6.44765366825737
"25009251200","Q4_high",8.51232245206313
"25009251300","Q4_high",7.78024883754957
"25009251400","Q3",6.91050791041042
"25009251500","Q4_high",7.65843530834473
"25009251600","Q4_high",5.62692749547792
"25009251700","Q3",6.17064738501308
"25009251800","Q2",4.39356766989147
"25009252101","Q3",5.49066254463493
"25009252102","Q2",5.77719786441678
"25009252201","Q2",8.14313258491333
"25009252202","Q1_low",7.18914416647289
